placement,group,comp,grp_count,grp_placement,mode
6,-1,"Armorclad, Bruiser, Cutter, Divinicorp, EdgeRunner, Gragas, Jhin, Mordekaiser, Rhaast, Sejuani, Techie, Vanguard, Varus, Vex",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
3,-1,"Braum, Bruiser, Darius, Divinicorp, Gragas, MissFortune, Mob, Rhaast, Swift, TwistedFate, Vanguard, Zeri",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
3,-1,"Annie, Armorclad, Aurora, Cyberboss, Elise, HotRod, Kobuko, Shyvana, SummonLevel4, Supercharge, Thirsty",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Brand, Controller, Ekko, Rengar, Samira, StreetDemon, Techie",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
3,-1,"Armorclad, Aurora, Divinicorp, EdgeRunner, Elise, Garen, Jhin, Netgod, Overlord, Renekton, Sejuani, Thirsty",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Divinicorp, Elise, HotRod, Shyvana, SummonLevel2, Thirsty",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
3,-1,"AnimaSquad, Armorclad, Aurora, Garen, Illaoi, Jhin, Leona, Marksman, Netgod, Shyvana, Thirsty, Vanguard, Xayah, Yuumi",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
3,-1,"Annie, Armorclad, HotRod, Naafiri, Samira, Sejuani, Shyvana, SummonLevel2, Supercharge, Yuumi",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"AnimaSquad, Illaoi, Leona, Sejuani, Techie, Vanguard, Vayne, ViegoUniqueTrait, Xayah, Yuumi",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Annie, Armorclad, Controller, EdgeRunner, Ekko, Naafiri, Samira, Sejuani, Supercharge, Yuumi",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
